Time, PSensor 1, PSensor 2, PSensor 3, PSensor 4, PSensor 5, PSensor 6, PSensor 7, PSensor 8, PSensor 9, PSensor 10, PSensor 11, PSensor 12, PSensor 13, PSensor 14, PSensor 15, PSensor 16
0.239,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.23
0.544,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.29
0.849,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.67
1.156,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.79
1.461,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.58
1.766,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.08
2.071,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.60
2.378,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.50
2.683,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.65
2.988,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.23
3.293,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,292.83
3.601,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.12
3.906,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.75
4.211,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,292.92
4.518,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,294.67
4.823,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.31
5.128,1375.23,1457.46,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.46
5.433,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.10
5.741,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.58
6.046,2047.94,2047.94,2047.94,2047.94,1654.46,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.73
6.351,2047.94,2047.94,2047.94,2047.94,2047.94,1866.00,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.12
6.656,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.42
6.963,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,868.81,1405.88,2047.94,2047.94,2047.94,2047.94,294.12
7.268,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.40
7.573,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,294.02
7.878,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.79
8.186,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,292.92
8.491,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.02
8.795,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.77
9.100,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.40
9.407,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.31
9.712,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.81
10.017,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.25
10.324,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.71
10.629,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,2047.94,293.92
